"ref_area.label","indicator.label","source.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Total","Occupation (ISCO-08): Total","2017",3734.513,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Total","Occupation (ISCO-08): 1. Managers","2017",460.159,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Total","Occupation (ISCO-08): 2. Professionals","2017",869.295,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Total","Occupation (ISCO-08): 3. Technicians and associate professionals","2017",480.104,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Total","Occupation (ISCO-08): 4. Clerical support workers","2017",389.874,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Total","Occupation (ISCO-08): 5. Service and sales workers","2017",591.203,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2017",41.634,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Total","Occupation (ISCO-08): 7. Craft and related trades workers","2017",331.631,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Total","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2017",236.34,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Total","Occupation (ISCO-08): 9. Elementary occupations","2017",317.041,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Total","Occupation (ISCO-08): 0. Armed forces occupations","2017",0,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Total","Occupation (ISCO-08): X. Not elsewhere classified","2017",15.962,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Male","Occupation (ISCO-08): Total","2017",2064.442,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Male","Occupation (ISCO-08): 1. Managers","2017",288.061,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Male","Occupation (ISCO-08): 2. Professionals","2017",441.405,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Male","Occupation (ISCO-08): 3. Technicians and associate professionals","2017",222.287,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Male","Occupation (ISCO-08): 4. Clerical support workers","2017",135.113,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Male","Occupation (ISCO-08): 5. Service and sales workers","2017",226.752,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Male","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2017",35.962,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Male","Occupation (ISCO-08): 7. Craft and related trades workers","2017",305.048,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Male","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2017",206.643,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Male","Occupation (ISCO-08): 9. Elementary occupations","2017",192.52,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Male","Occupation (ISCO-08): 0. Armed forces occupations","2017",0,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Male","Occupation (ISCO-08): X. Not elsewhere classified","2017",9.722,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Female","Occupation (ISCO-08): Total","2017",1666.935,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Female","Occupation (ISCO-08): 1. Managers","2017",171.63,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Female","Occupation (ISCO-08): 2. Professionals","2017",428.314,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Female","Occupation (ISCO-08): 3. Technicians and associate professionals","2017",260.528,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Female","Occupation (ISCO-08): 4. Clerical support workers","2017",254.65,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Female","Occupation (ISCO-08): 5. Service and sales workers","2017",361.86,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Female","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2017",9.055,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Female","Occupation (ISCO-08): 7. Craft and related trades workers","2017",25.181,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Female","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2017",29.233,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Female","Occupation (ISCO-08): 9. Elementary occupations","2017",123.094,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Female","Occupation (ISCO-08): 0. Armed forces occupations","2017",0,,"Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Australia","Inflow of employed foreign-born population by sex and occupation (thousands)","HS - Survey of Education and Work","Sex: Female","Occupation (ISCO-08): X. Not elsewhere classified","2017",5.764,"Unreliable","Remarks: Data randomly adjusted for confidentiality protection. Sum of items may not equal to the total.","Data reference period: May | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding resident foreign diplomats and regular military living in barracks | Age coverage - maximum age: 74 years old"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Total","Occupation (Skill level): Total","2020",841.556,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",341.055,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Total","Occupation (Skill level): Skill level 2 ~ medium","2020",344.781,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Total","Occupation (Skill level): Skill level 1 ~ low","2020",152.82,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Total","Occupation (Skill level): Not elsewhere classified","2020",2.9,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Male","Occupation (Skill level): Total","2020",466.618,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Male","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",186.261,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Male","Occupation (Skill level): Skill level 2 ~ medium","2020",223.158,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Male","Occupation (Skill level): Skill level 1 ~ low","2020",54.65,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Male","Occupation (Skill level): Not elsewhere classified","2020",2.549,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Female","Occupation (Skill level): Total","2020",374.938,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Female","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",154.794,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Female","Occupation (Skill level): Skill level 2 ~ medium","2020",121.623,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Female","Occupation (Skill level): Skill level 1 ~ low","2020",98.17,,,"Population coverage: Excluding armed forces and/or conscripts"
"Belgium","Inflow of employed foreign-born population by sex and occupation (thousands)","LFS - Labour Force Survey","Sex: Female","Occupation (Skill level): Not elsewhere classified","2020",0.351,,,"Population coverage: Excluding armed forces and/or conscripts"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Total","Occupation (Skill level): Total","2019",15,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","2019",2.504,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Total","Occupation (Skill level): Skill level 2 ~ medium","2019",10.422,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Total","Occupation (Skill level): Skill level 1 ~ low","2019",1.219,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Total","Occupation (Skill level): Not elsewhere classified","2019",0.855,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Male","Occupation (Skill level): Total","2019",9.321,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Male","Occupation (Skill level): Skill levels 3 and 4 ~ high","2019",1.781,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Male","Occupation (Skill level): Skill level 2 ~ medium","2019",6.337,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Male","Occupation (Skill level): Skill level 1 ~ low","2019",0.572,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Male","Occupation (Skill level): Not elsewhere classified","2019",0.631,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Female","Occupation (Skill level): Total","2019",5.679,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Female","Occupation (Skill level): Skill levels 3 and 4 ~ high","2019",0.723,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Female","Occupation (Skill level): Skill level 2 ~ medium","2019",4.085,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Female","Occupation (Skill level): Skill level 1 ~ low","2019",0.647,,,"Data reference period: December"
"Burkina Faso","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population Census","Sex: Female","Occupation (Skill level): Not elsewhere classified","2019",0.224,,,"Data reference period: December"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Total","Occupation (ISCO-08): Total","2012",44.715,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Total","Occupation (ISCO-08): 1. Managers","2012",3.007,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Total","Occupation (ISCO-08): 2. Professionals","2012",7.554,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Total","Occupation (ISCO-08): 3. Technicians and associate professionals","2012",4.253,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Total","Occupation (ISCO-08): 4. Clerical support workers","2012",1.187,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Total","Occupation (ISCO-08): 5. Service and sales workers","2012",8.516,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2012",8.546,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Total","Occupation (ISCO-08): 7. Craft and related trades workers","2012",5.233,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Total","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2012",1.368,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Total","Occupation (ISCO-08): 9. Elementary occupations","2012",1.819,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Total","Occupation (ISCO-08): 0. Armed forces occupations","2012",0.052,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Total","Occupation (ISCO-08): X. Not elsewhere classified","2012",3.18,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Male","Occupation (ISCO-08): Total","2012",28.653,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Male","Occupation (ISCO-08): 1. Managers","2012",2.01,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Male","Occupation (ISCO-08): 2. Professionals","2012",4.026,,,"Data reference period: Noncalendar year"
"Bolivia","Inflow of employed foreign-born population by sex and occupation (thousands)","PC - Population and Housing Census","Sex: Male","Occupation (ISCO-08): 3. Technicians and associate professionals","2012",2.882,,,"Data reference period: Noncalendar year"
